,Unnamed: 0,genre_ids,id,original_language,popularity,release_date,vote_average,vote_count,tconst,primary_title,start_year,runtime_minutes,G1,G2,G3,id_budg,release_date_budg,production_budget,domestic_gross,worldwide_gross,release_month
#Horror,14656,"[18, 9648, 27, 53]",301325,de,6.099,2015-11-20,3.3,102,tt3526286,#Horror,2015.0,101.0,Crime,Drama,Horror,16,"Nov 20, 2015",1500000,0,0,11
10 Cloverfield Lane,17422,"[53, 878, 18]",333371,en,17.892,2016-03-11,6.9,4629,tt1179933,10 Cloverfield Lane,2016.0,103.0,Drama,Horror,Mystery,54,"Mar 11, 2016",5000000,72082999,108286422,3
10 Days in a Madhouse,15907,[18],345003,en,0.955,2015-11-20,5.4,7,tt3453052,10 Days in a Madhouse,2015.0,111.0,Drama,,,48,"Nov 11, 2015",12000000,14616,14616,11
12 Strong,24032,"[10752, 18, 36, 28]",429351,en,13.183,2018-01-19,5.6,1312,tt1413492,12 Strong,2018.0,130.0,Action,Drama,History,64,"Jan 19, 2018",35000000,45819713,71118378,1
12 Years a Slave,7911,"[18, 36]",76203,en,16.493,2013-10-30,7.9,6631,tt2024544,12 Years a Slave,2013.0,134.0,Biography,Drama,History,18,"Oct 18, 2013",20000000,56671993,181025343,10
127 Hours,93,"[12, 18, 53]",44115,en,11.435,2010-11-05,7.0,4469,tt1542344,127 Hours,2010.0,94.0,Adventure,Biography,Drama,6,"Nov 5, 2010",18000000,18335230,60217171,11
13 Sins,11150,"[27, 53]",155084,en,10.899000000000001,2014-04-18,6.3,576,tt2059171,13 Sins,2014.0,93.0,Horror,Thriller,,51,"Apr 18, 2014",4000000,9134,47552,4
1982,10228,[18],215918,en,0.6,2013-12-31,7.5,2,tt2388621,1982,2013.0,90.0,Drama,,,23,"Mar 1, 2016",1000000,0,0,12
1982,10228,[18],215918,en,0.6,2013-12-31,7.5,2,tt5671400,1982,2015.0,11.0,Documentary,,,23,"Mar 1, 2016",1000000,0,0,12
2 Guns,7931,"[28, 35, 80]",136400,en,14.8,2013-08-02,6.5,2368,tt1272878,2 Guns,2013.0,109.0,Action,Comedy,Crime,39,"Aug 2, 2013",61000000,75612460,132493015,8
21 Jump Street,5226,"[28, 35, 80]",64688,en,14.835999999999999,2012-03-12,6.8,6527,tt1232829,21 Jump Street,2012.0,109.0,Action,Comedy,Crime,44,"Mar 16, 2012",42000000,138447667,202812429,3
22 Jump Street,11136,"[80, 35, 28]",187017,en,11.175999999999998,2014-06-13,6.9,5167,tt2294449,22 Jump Street,2014.0,112.0,Action,Comedy,Crime,85,"Jun 13, 2014",50000000,191719337,331333876,6
23 Blast,12063,[18],295588,en,2.213,2014-10-24,6.5,31,tt2304459,23 Blast,2014.0,98.0,Drama,Family,Sport,64,"Oct 24, 2014",1000000,549185,549185,10
3,25581,"[27, 9648, 53]",477577,en,1.8159999999999998,2018-08-07,6.0,2,tt1517177,3,2010.0,119.0,Comedy,Drama,Romance,85,"Sep 16, 2011",7200000,59774,295492,8
3,25581,"[27, 9648, 53]",477577,en,1.8159999999999998,2018-08-07,6.0,2,tt2123129,3,2012.0,145.0,Drama,Mystery,Romance,85,"Sep 16, 2011",7200000,59774,295492,8
3,25581,"[27, 9648, 53]",477577,en,1.8159999999999998,2018-08-07,6.0,2,tt2379653,3,2012.0,115.0,Comedy,Drama,,85,"Sep 16, 2011",7200000,59774,295492,8
3,25581,"[27, 9648, 53]",477577,en,1.8159999999999998,2018-08-07,6.0,2,tt5618160,3,2018.0,80.0,Horror,Mystery,Thriller,85,"Sep 16, 2011",7200000,59774,295492,8
3,25581,"[27, 9648, 53]",477577,en,1.8159999999999998,2018-08-07,6.0,2,tt5785598,3,2015.0,57.0,Drama,,,85,"Sep 16, 2011",7200000,59774,295492,8
3,25581,"[27, 9648, 53]",477577,en,1.8159999999999998,2018-08-07,6.0,2,tt8558372,3,2018.0,17.0,Documentary,,,85,"Sep 16, 2011",7200000,59774,295492,8
3 Backyards,830,[18],68412,en,2.079,2010-01-24,4.3,6,tt1314190,3 Backyards,2010.0,88.0,Drama,,,51,"Mar 11, 2011",300000,39475,39475,1
3 Days to Kill,11145,"[28, 18, 53, 80]",192102,en,11.011,2014-02-14,6.1,1279,tt2172934,3 Days to Kill,2014.0,117.0,Action,Drama,Thriller,64,"Feb 21, 2014",28000000,30697999,38959900,2
30 Minutes or Less,2584,"[28, 12, 35]",62206,en,11.315,2011-08-12,5.6,825,tt1622547,30 Minutes or Less,2011.0,83.0,Action,Comedy,Crime,60,"Aug 12, 2011",28000000,37053924,40966716,8
300: Rise of an Empire,11043,"[28, 10752, 14]",53182,en,23.68,2014-03-07,6.0,3870,tt1253863,300: Rise of an Empire,2014.0,102.0,Action,Fantasy,War,26,"Mar 7, 2014",110000000,106580051,330780051,3
31,17667,"[27, 53, 9648]",284564,en,8.683,2016-10-21,5.2,370,tt3835080,31,2016.0,102.0,Horror,Thriller,,85,"Oct 21, 2016",1500000,779820,922727,10
42,7989,[18],109410,en,11.28,2013-04-12,7.0,1028,tt0453562,42,2013.0,128.0,Biography,Drama,Sport,22,"Apr 12, 2013",31000000,95020213,97470701,4
47 Ronin,7887,"[18, 28, 12, 14]",64686,en,25.049,2013-12-25,6.0,2080,tt1335975,47 Ronin,2013.0,128.0,Action,Adventure,Drama,12,"Dec 25, 2013",175000000,38362475,151716815,12
5 Days of War,2693,"[10752, 18]",50601,en,8.689,2011-08-18,5.7,102,tt1486193,5 Days of War,2011.0,113.0,Action,Drama,War,47,"Aug 19, 2011",12000000,17479,87793,8
